node,value
-1,6.096405
0,0.056695
1,0.055623
2,0.058075
3,0.064590
4,0.069612
5,0.069629
6,0.060139
7,0.060126
8,0.060956
9,0.061834
10,0.053168
11,0.061572
12,0.056738
13,0.050399
14,0.058924
15,0.057262
16,0.057270
17,0.059825
18,0.058585
19,0.059871
20,0.059618
21,0.057570
22,0.059272
23,0.065201
24,0.059560
25,0.064986
26,0.059656
27,0.066333
28,0.058999
29,0.059560
30,0.059379
31,0.059450
32,0.059679
33,0.059332
34,0.059150
35,0.062885
36,0.058905
37,0.060193
38,0.059626
39,0.059199
40,0.060153
41,0.063957
42,0.058688
43,0.058778
44,0.112942
45,0.075919
46,0.066524
47,0.059203
48,0.059415
49,0.068605
50,0.068400
51,0.057797
52,0.063658
53,0.051990
54,0.053563
55,0.059687
56,0.055098
57,0.059397
58,0.058359
59,0.066359
60,0.058857
61,0.058635
62,0.059634
63,0.059253
64,0.058775
65,0.060688
66,0.059100
67,0.058793
68,0.059021
69,0.057228
70,0.058756
71,0.063255
72,0.064487
73,0.064685
74,0.061527
75,0.055071
76,0.052513
77,0.058550
78,0.055994
79,0.060114
80,0.057263
81,0.063485
82,0.062421
83,0.064309
84,0.057478
85,0.059178
86,0.059576
87,0.056212
88,0.052772
89,0.058103
90,0.056113
91,0.067244
92,0.066224
93,0.066024
94,0.063662
95,0.067449
96,0.065799
97,0.066777
98,0.061406
99,0.062028
